water_level,temperature,ldr,pH,humidity ,label
7.8,24.6,485,5.1,69,20
2.6,12.3,726,6.1,33,14
13,18.2,752,5.7,4,5
0.8,19.8,254,5.5,53,13
2.6,29.9,861,6.5,58,11
7.6,18.2,198,6.7,19,27
12.7,9.9,663,8.9,24,25
2.9,25.8,765,6.4,77,11
8.7,28.4,689,7.6,1,19
3.9,13.4,145,6.4,39,13
5.4,8.4,112,6.5,73,4
13.1,16.2,410,7.6,22,27
13.2,28.5,4,8.4,21,21
7.5,11.4,150,5.4,40,26
4.5,28.9,53,6.7,36,39
11.6,19.4,491,7.8,37,27
13.1,8.2,567,7.4,55,27
8.1,10.8,809,6.8,67,29
4.6,26.5,343,7.1,70,39
9.5,25.8,622,6.6,36,21
2.2,29.5,82,6.5,52,10
5,9.2,310,5.2,23,26
6.2,15.1,579,6.1,52,4
2.6,24.2,686,6.5,50,9
14.6,19,997,8.1,48,29
10.5,20.5,1000,8,34,29
3.4,22,960,6.3,70,14
10.7,21.3,927,8.6,67,29
5.3,13.1,294,8.1,39,27
7.3,18.6,49,6.7,25,27
7.6,8.3,659,8.9,31,25
1.9,26.4,362,5.4,36,38
12.7,18.7,80,5.8,66,4
13.8,10,697,6.5,63,3
12.6,24.1,510,5.7,10,1
0.9,22,152,7.4,28,45
0.9,26.7,566,7.3,50,39
12.7,15.9,991,6.4,47,5
4.1,27.5,353,7.2,21,39
4.1,12.5,722,8.2,19,47
9,23.4,476,5.3,11,26
3.1,28.9,43,5.4,8,38
15,10,948,5.9,9,5
1.1,15.8,980,5.6,7,14
6.1,20.9,441,8.8,64,27
6.2,17.3,306,8.2,60,27
2.3,15.4,17,6.9,32,45
14.7,22.5,403,7.9,24,27
3.3,19.5,199,6.3,58,13
2.1,17.1,279,6,8,13
10.7,19.7,794,6.8,27,29
13.9,28.7,653,6.2,18,0
12.4,9.1,918,7.8,55,29
11,27.9,573,6.1,79,1
0.7,18.9,205,7.5,25,45
9.3,25.6,778,7.2,61,23
9.2,27.2,780,8.1,8,23
13.3,19.9,821,5.9,34,5
8.2,25.1,834,7,71,23
5.8,19.4,410,6.4,57,4
14,19.5,6,5.5,70,4
13.2,17.4,779,5.7,18,5
7.9,28.3,36,7.2,74,21
4.8,13.9,850,5.9,40,14
8.5,12.3,665,5.7,44,3
10.8,27.8,704,7.9,30,23
2.4,29.8,352,7.9,51,39
1.4,21.8,690,5.3,16,42
10,20.2,513,7,11,27
11.5,23.4,114,5.5,38,4
6.9,16.2,532,5.3,8,26
7,14.4,217,5.3,47,26
13.4,22.7,960,8.3,73,29
12.4,23.6,182,6.8,21,27
11.7,30,105,8.5,38,21
8.7,14.6,78,8.4,70,27
2.6,8.2,854,8.7,24,47
5.5,23.6,337,8.9,60,27
1.9,28.1,106,5.3,62,38
4.8,21.5,765,7.9,40,47
5.3,10.3,560,8.7,21,27
11.9,23.7,385,6.7,26,27
5.8,11.8,378,6.9,78,27
1.2,8.8,892,8.4,9,47
11.1,13.9,691,8.1,12,25
7.7,13.7,421,6.9,72,27
10.4,20.4,904,7.8,68,29
10.7,19.5,711,8.9,73,29
1.9,16.8,129,7.7,50,45
0.2,29.7,615,5.1,67,38
1.5,25.7,306,5.3,80,38
13,26.5,235,8,49,21
10.9,9.9,635,5.3,65,26
1.6,29.4,398,7.2,54,39
12.7,22.1,328,5.3,54,26
3.9,17.7,86,5.8,66,13
11.7,20.6,239,8.7,56,27
2.4,29.2,623,5.8,5,10
3.2,29,712,8.9,66,41
9.2,19.3,432,5.7,6,4
3.2,19.4,544,8.5,26,45
6.5,14.3,756,6.4,22,5
5.6,24.2,795,7.7,54,23
4.8,8.5,560,6.9,62,45
11.7,21.5,921,5.5,53,5
10.5,8,52,5.6,20,4
